5157|1999-12-30|Сахалинская область|Сахалинской области|65|г.Южно-Сахалинск|7.00|@S65.ugs.ru|65S000||        |Избирательная комиссия Сахалинской области|Избирательной комиссии Сахалинской области|1|||||""|""|""
25943|1999-12-30|Приморский край|Приморского края|25|г.Владивосток|7.00|@S25.wlw.ru|25S000||        |Избирательная комиссия Приморского края|Избирательной комиссии Приморского края|1|||||""|""|""
200000|1997-06-27|Республика Алтай|Республики Алтай|02|г.Горно-Алтайск|3.00|@S04.gal.ru|04S000||        |Избирательная комиссия Республики Алтай|Избирательной комиссии Республики Алтай|4|||||""|""|""
19980504|1999-12-30|Эвенкийский автономный округ|Эвенкийского автономного округа|88|п.Тура|4.00|@S88.tur.ru|88S000|2007-01-10|        |Избирательная комиссия Эвенкийского автономного округа|Избирательной комиссии Эвенкийского автономного округа|4|||||""|""|""
31906|1999-12-30|Кемеровская область- Кузбас|Кемеровской области|42|г.Кемерово|3.00|@S42.kmr.ru|42S000||        |Избирательная комиссия Кемеровской области|Избирательной комиссии Кемеровской области|4|||||""|""|""
24230|1999-12-30|Тюменская область|Тюменской области|72|г.Тюмень|2.00|@S72.tum.ru|72S000||        |Избирательная комиссия Тюменской области|Избирательной комиссии Тюменской области|5|||||""|""|""
867876800|1997-06-27|Кабардино-Балкарская Республика|Кабардино-Балкарской Республики|07|г.Нальчик|0.00|@S07.nal.ru|07S000||        |Избирательная комиссия Кабардино-Балкарской Республики|Избирательной комиссии Кабардино-Балкарской Республики|8|||||""|""|""
16951|1999-12-30|Чеченская Республика|Чеченской Республики|20|г.Грозный|0.00|@S20.grz.ru|20S000||        |Избирательная комиссия Чеченской Республики|Избирательной комиссии Чеченской Республики|8|||||""|""|""
20741|1999-12-30|Алтайский край|Алтайского края|22|г.Барнаул|3.00|@S22.bar.ru|22S000||        |Избирательная комиссия Алтайского края|Избирательной комиссии Алтайского края|4|||||""|""|""
12417|1999-12-30|Ставропольский край|Ставропольского края|26|г.Ставрополь|0.00|@S26.stv.ru|26S000||        |Избирательная комиссия Ставропольского края|Избирательной комиссии Ставропольского края|8|||||""|""|""
18277|1999-09-23|Республика Саха (Якутия)|Республики Саха (Якутия)|14|г.Якутск|6.00|@S14.jku.ru|14S000||        |Центральная избирательная комиссия Республики Саха (Якутия)|Центральной избирательной комиссии Республики Саха (Якутия)|1|||||""|""|""
1544|1999-09-23|Республика Северная Осетия - Алания|Республики Северная Осетия - Алания|15|г.Владикавказ|0.00|@S15.wlk.ru|15S000||        |Центральная избирательная комиссия Республики Северная Осетия - Алания|Центральной избирательной комиссии Республики Северная Осетия - Алания|8|||||""|""|""
16708|1999-12-30|Амурская область|Амурской области|28|г.Благовещенск|6.00|@S28.blw.ru|28S000||        |Избирательная комиссия Амурской области|Избирательной комиссии Амурской области|1|||||""|""|""
27331|1999-12-30|Брянская область|Брянской области|32|г.Брянск|0.00|@S32.brj.ru|32S000||        |Избирательная комиссия Брянской области|Избирательной комиссии Брянской области|6|||||""|""|""
11281|1999-12-30|Волгоградская область|Волгоградской области|34|г.Волгоград|0.00|@S34.wgd.ru|34S000||        |Избирательная комиссия Волгоградской области|Избирательной комиссии Волгоградской области|7|||||""|""|""
31613|1999-12-30|Калининградская область|Калининградской области|39|г.Калининград|-1.00|@S39.klg.ru|39S000||        |Избирательная комиссия Калининградской области|Избирательной комиссии Калининградской области|3|||||""|""|""
23518|1999-12-30|Ленинградская область|Ленинградской области|47|г.Санкт-Петербург|0.00|@S47.spb.ru|47S000||        |Избирательная комиссия Ленинградской области|Избирательной комиссии Ленинградской области|3|||||""|""|""
24641|1999-09-23|Мурманская область|Мурманской области|51|г.Мурманск|0.00|@S51.mrm.ru|51S000||        |Избирательная комиссия Мурманской области|Избирательной комиссии Мурманской области|3|||||""|""|""
30316|1999-12-30|Новосибирская область|Новосибирской области|54|г.Новосибирск|3.00|@S54.nsk.ru|54S000||        |Избирательная комиссия Новосибирской области|Избирательной комиссии Новосибирской области|4|||||""|""|""
31945|1999-12-30|Ростовская область|Ростовской области|61|г.Ростов-на-Дону|0.00|@S61.pnd.ru|61S000||        |Избирательная комиссия Ростовской области|Избирательной комиссии Ростовской области|7|||||""|""|""
4726|1999-12-30|Свердловская область|Свердловской области|66|г.Екатеринбург|2.00|@S66.ekb.ru|66S000||        |Избирательная комиссия Свердловской области|Избирательной комиссии Свердловской области|5|||||""|""|""
23556|1999-12-30|Томская область|Томской области|70|г.Томск|3.00|@S70.tms.ru|70S000||        |Избирательная комиссия Томской области|Избирательной комиссии Томской области|4|||||""|""|""
28063|1999-12-30|Читинская область|Читинской области|75|г.Чита|6.00|@S75.cht.ru|75S000|2008-01-23|        |Избирательная комиссия Читинской области|Избирательной комиссии Читинской области|4|||||""|""|""
8416|1999-12-30|Орловская область|Орловской области|57|г.Орел|0.00|@S57.orl.ru|57S000||        |Избирательная комиссия Орловской области|Избирательной комиссии Орловской области|6|||||""|""|""
32596|1999-12-30|Новгородская область|Новгородской области|53|г.Великий Новгород|0.00|@S53.now.ru|53S000||        |Избирательная комиссия Новгородской области|Избирательной комиссии Новгородской области|3|||||""|""|""
2914|1999-12-30|Омская область|Омской области|55|г.Омск|3.00|@S55.oms.ru|55S000||        |Избирательная комиссия Омской области|Избирательной комиссии Омской области|4|||||""|""|""
100100021615960|2007-06-20|Пермский край|Пермского края|90|г.Пермь|2.00|@S59.prm.ru|59S000||        |Избирательная комиссия Пермского края|Избирательной комиссии Пермского края|2|||||""|""|""
24261|1999-12-30|Республика Мордовия|Республики Мордовия|13|г.Саранск|0.00|@S13.sar.ru|13S000||        |Центральная избирательная комиссия Республики Мордовия|Центральной избирательной комиссии Республики Мордовия|2|||||""|""|""
100100022273892|2008-01-23|Забайкальский край|Забайкальского края|92|г.Чита|6.00|@S75.cht.ru|75S000||        |Избирательная комиссия Забайкальского края|Избирательной комиссии Забайкальского края|4|||||""|""|""
10349|1999-09-23|Нижегородская область|Нижегородской области|52|г.Нижний Новгород|0.00|@S77.msg.ru|52S000||        |Избирательная комиссия Нижегородской области|Избирательной комиссии Нижегородской области|2|||||""|""|""
15759|1999-12-30|Таймырский (Долгано-Ненецкий) автономный округ|Таймырского (Долгано-Ненецкого) автономного округа|84|г.Дудинка|4.00|@S84.dud.ru|84S000|2007-01-10|        |Избирательная комиссия Таймырского (Долгано-Ненецкого) автономного округа|Избирательной комиссии Таймырского (Долгано-Ненецкого) автономного округа|4|||||""|""|""
19980505|1999-12-30|Ямало-Ненецкий автономный округ|Ямало-Ненецкого автономного округа|89|г.Салехард|2.00|@S89.slh.ru|89S000||        |Избирательная комиссия Ямало-Ненецкого автономного округа|Избирательной комиссии Ямало-Ненецкого автономного округа|5|||||""|""|""
25690|1999-12-30|Смоленская область|Смоленской области|67|г.Смоленск|0.00|@S67.sml.ru|67S000||        |Избирательная комиссия Смоленской области|Избирательной комиссии Смоленской области|6|||||""|""|""
15175|1999-12-30|Тамбовская область|Тамбовской области|68|г.Тамбов|0.00|@S68.tmb.ru|68S000||        |Избирательная комиссия Тамбовской области|Избирательной комиссии Тамбовской области|6|||||""|""|""
0|2020-04-20|Российская Федерация|Российская Федерация|00||||||||||||||||
